GITTER_ID_100m;x_mp_100m;y_mp_100m;durchschnMieteQM;AnzahlWohnungen;werterlaeuternde_Zeichen
CRS3035RES100mN3258600E4553200;4553250;3258650;610;106;NA
CRS3035RES100mN3258600E4553300;4553350;3258650;602;105;NA
CRS3035RES100mN3258600E4553400;4553450;3258650;597;54;NA
CRS3035RES100mN3258600E4553500;4553550;3258650;604;102;NA
CRS3035RES100mN3258600E4553600;4553650;3258650;1058;6;NA
CRS3035RES100mN3258600E4553900;4553950;3258650;661;3;NA
CRS3035RES100mN3258600E4554000;4554050;3258650;814;11;NA
CRS3035RES100mN3258600E4569100;4569150;3258650;982;7;NA
CRS3035RES100mN3258700E4551100;4551150;3258750;835;4;NA
CRS3035RES100mN3258700E4551200;4551250;3258750;671;9;NA
CRS3035RES100mN3258700E4551300;4551350;3258750;542;12;NA
CRS3035RES100mN3258700E4551400;4551450;3258750;692;9;NA
CRS3035RES100mN3258700E4551900;4551950;3258750;553;11;NA
CRS3035RES100mN3258700E4552200;4552250;3258750;685;13;NA
CRS3035RES100mN3258700E4552300;4552350;3258750;799;8;NA
CRS3035RES100mN3258700E4552400;4552450;3258750;691;13;NA
CRS3035RES100mN3258700E4552500;4552550;3258750;646;9;NA
CRS3035RES100mN3258700E4552600;4552650;3258750;730;17;NA
CRS3035RES100mN3258700E4552700;4552750;3258750;683;115;NA
CRS3035RES100mN3258700E4552800;4552850;3258750;690;96;NA
CRS3035RES100mN3258700E4553100;4553150;3258750;737;19;NA
CRS3035RES100mN3258700E4553200;4553250;3258750;599;55;NA
CRS3035RES100mN3258700E4553300;4553350;3258750;575;91;NA
CRS3035RES100mN3258700E4553400;4553450;3258750;561;130;NA
CRS3035RES100mN3258700E4553500;4553550;3258750;574;124;NA
CRS3035RES100mN3258700E4553800;4553850;3258750;754;4;NA
CRS3035RES100mN3258700E4553900;4553950;3258750;805;3;NA
CRS3035RES100mN3258700E4567700;4567750;3258750;471;3;KLAMMERN
CRS3035RES100mN3258800E4534500;4534550;3258850;1016;3;NA
CRS3035RES100mN3258800E4534800;4534850;3258850;778;24;NA
CRS3035RES100mN3258800E4534900;4534950;3258850;638;15;NA
CRS3035RES100mN3258800E4551200;4551250;3258850;732;11;NA
CRS3035RES100mN3258800E4551300;4551350;3258850;877;7;NA
CRS3035RES100mN3258800E4551400;4551450;3258850;850;6;NA
CRS3035RES100mN3258800E4551600;4551650;3258850;676;6;NA
CRS3035RES100mN3258800E4551700;4551750;3258850;950;5;NA
CRS3035RES100mN3258800E4551900;4551950;3258850;765;3;NA
CRS3035RES100mN3258800E4552100;4552150;3258850;971;7;NA
CRS3035RES100mN3258800E4552200;4552250;3258850;704;35;NA
CRS3035RES100mN3258800E4552300;4552350;3258850;625;86;NA
CRS3035RES100mN3258800E4552400;4552450;3258850;528;87;NA
CRS3035RES100mN3258800E4552500;4552550;3258850;689;124;NA
CRS3035RES100mN3258800E4552600;4552650;3258850;755;68;NA
CRS3035RES100mN3258800E4552700;4552750;3258850;778;128;NA
CRS3035RES100mN3258800E4552800;4552850;3258850;799;40;NA
CRS3035RES100mN3258800E4552900;4552950;3258850;699;34;NA
CRS3035RES100mN3258800E4553000;4553050;3258850;646;8;NA
CRS3035RES100mN3258800E4553100;4553150;3258850;955;4;NA
CRS3035RES100mN3258800E4553200;4553250;3258850;764;32;NA
CRS3035RES100mN3258800E4553300;4553350;3258850;558;28;NA
CRS3035RES100mN3258800E4553400;4553450;3258850;796;6;NA
CRS3035RES100mN3258800E4553500;4553550;3258850;813;15;NA
CRS3035RES100mN3258800E4553800;4553850;3258850;761;8;NA
CRS3035RES100mN3258800E4553900;4553950;3258850;1050;4;NA
CRS3035RES100mN3258900E4534800;4534850;3258950;654;3;NA
CRS3035RES100mN3258900E4534900;4534950;3258950;629;3;NA
CRS3035RES100mN3258900E4551000;4551050;3258950;501;9;NA
CRS3035RES100mN3258900E4551100;4551150;3258950;768;3;NA
CRS3035RES100mN3258900E4551200;4551250;3258950;986;4;NA
CRS3035RES100mN3258900E4551300;4551350;3258950;830;7;NA
CRS3035RES100mN3258900E4551400;4551450;3258950;685;3;NA
CRS3035RES100mN3258900E4551600;4551650;3258950;616;3;NA
CRS3035RES100mN3258900E4551700;4551750;3258950;783;10;NA
CRS3035RES100mN3258900E4551800;4551850;3258950;952;3;NA
CRS3035RES100mN3258900E4551900;4551950;3258950;1377;3;NA
CRS3035RES100mN3258900E4552000;4552050;3258950;1125;3;NA
CRS3035RES100mN3258900E4552200;4552250;3258950;635;57;NA
CRS3035RES100mN3258900E4552300;4552350;3258950;623;65;NA
CRS3035RES100mN3258900E4552400;4552450;3258950;596;38;NA
CRS3035RES100mN3258900E4552500;4552550;3258950;659;171;NA
CRS3035RES100mN3258900E4552900;4552950;3258950;703;31;NA
CRS3035RES100mN3258900E4553300;4553350;3258950;762;4;NA
CRS3035RES100mN3258900E4553400;4553450;3258950;1176;5;NA
CRS3035RES100mN3258900E4553600;4553650;3258950;826;75;NA
CRS3035RES100mN3258900E4553700;4553750;3258950;758;24;NA
CRS3035RES100mN3258900E4553800;4553850;3258950;609;4;NA
CRS3035RES100mN3258900E4553900;4553950;3258950;897;5;NA
CRS3035RES100mN3258900E4554000;4554050;3258950;535;54;NA
CRS3035RES100mN3259000E4551200;4551250;3259050;619;5;NA
CRS3035RES100mN3259000E4551300;4551350;3259050;901;11;NA
CRS3035RES100mN3259000E4551400;4551450;3259050;903;3;NA
CRS3035RES100mN3259000E4551600;4551650;3259050;607;6;NA
CRS3035RES100mN3259000E4551700;4551750;3259050;631;4;NA
CRS3035RES100mN3259000E4551800;4551850;3259050;828;3;NA
CRS3035RES100mN3259000E4551900;4551950;3259050;1336;16;NA
CRS3035RES100mN3259000E4552000;4552050;3259050;999;9;NA
CRS3035RES100mN3259000E4552100;4552150;3259050;575;3;NA
CRS3035RES100mN3259000E4552200;4552250;3259050;736;27;NA
CRS3035RES100mN3259000E4552300;4552350;3259050;660;168;NA
CRS3035RES100mN3259000E4552400;4552450;3259050;640;123;NA
