GITTER_ID_100m;x_mp_100m;y_mp_100m;Insgesamt_Bevoelkerung;Unter3;a3bis5;a6bis9;a10bis15;a16bis18;a19bis24;a25bis39;a40bis59;a60bis66;a67bis74;a75undaelter
CRS3035RES100mN3257900E4553100;4553150;3257950;107;–;–;–;–;–;–;–;–;–;12;97
CRS3035RES100mN3257900E4553200;4553250;3257950;143;–;–;–;–;–;–;3;19;12;24;84
CRS3035RES100mN3257900E4553300;4553350;3257950;16;–;–;–;–;–;3;–;6;6;–;3
CRS3035RES100mN3257900E4553400;4553450;3257950;38;–;3;3;3;–;5;3;12;3;8;5
CRS3035RES100mN3257900E4553500;4553550;3257950;47;3;–;3;4;–;3;3;14;10;6;9
CRS3035RES100mN3257900E4553600;4553650;3257950;40;–;–;–;–;–;–;5;7;8;6;5
CRS3035RES100mN3257900E4553700;4553750;3257950;28;–;3;–;–;–;–;5;12;3;–;7
CRS3035RES100mN3257900E4553800;4553850;3257950;20;–;–;–;3;3;–;–;10;–;3;5
CRS3035RES100mN3257900E4553900;4553950;3257950;32;–;–;5;–;–;3;–;9;5;3;5
CRS3035RES100mN3257900E4569000;4569050;3257950;16;–;–;–;–;–;–;5;4;–;3;–
CRS3035RES100mN3257900E4569300;4569350;3257950;24;3;–;–;–;–;–;7;3;4;3;3
CRS3035RES100mN3257900E4569400;4569450;3257950;20;–;–;–;–;–;–;–;–;–;–;–
CRS3035RES100mN3257900E4569700;4569750;3257950;3;–;–;–;–;–;–;–;–;–;–;–
CRS3035RES100mN3257900E4569800;4569850;3257950;6;–;–;–;–;–;–;–;–;–;–;–
CRS3035RES100mN3258000E4533900;4533950;3258050;23;–;–;–;4;3;3;3;10;6;–;–
CRS3035RES100mN3258000E4551600;4551650;3258050;54;–;–;–;4;10;7;8;22;6;3;–
CRS3035RES100mN3258000E4551700;4551750;3258050;31;–;–;3;3;3;3;–;7;5;–;3
CRS3035RES100mN3258000E4551800;4551850;3258050;39;–;–;3;3;3;3;5;9;4;4;4
CRS3035RES100mN3258000E4551900;4551950;3258050;40;–;3;–;–;–;–;8;4;12;3;10
CRS3035RES100mN3258000E4552000;4552050;3258050;47;–;–;–;–;3;3;4;7;8;10;11
CRS3035RES100mN3258000E4552100;4552150;3258050;37;3;3;–;–;–;4;3;8;3;8;4
CRS3035RES100mN3258000E4552200;4552250;3258050;132;6;5;5;3;–;14;44;30;6;16;5
CRS3035RES100mN3258000E4552300;4552350;3258050;14;–;–;–;–;–;–;–;–;–;–;–
CRS3035RES100mN3258000E4552400;4552450;3258050;26;–;–;–;–;3;–;3;4;5;6;3
CRS3035RES100mN3258000E4552500;4552550;3258050;35;3;–;3;–;–;–;6;4;11;6;–
CRS3035RES100mN3258000E4552600;4552650;3258050;52;–;–;4;7;4;3;6;10;3;4;5
CRS3035RES100mN3258000E4552700;4552750;3258050;50;3;4;3;–;–;–;10;12;–;5;14
CRS3035RES100mN3258000E4552800;4552850;3258050;57;–;–;3;6;–;–;3;24;3;3;8
CRS3035RES100mN3258000E4552900;4552950;3258050;32;3;–;3;3;–;–;5;9;3;–;5
CRS3035RES100mN3258000E4553000;4553050;3258050;10;–;–;–;–;–;3;–;3;–;3;3
CRS3035RES100mN3258000E4553200;4553250;3258050;36;–;–;–;–;–;–;7;9;11;3;8
CRS3035RES100mN3258000E4553300;4553350;3258050;52;8;3;3;5;3;5;12;7;3;5;8
CRS3035RES100mN3258000E4553400;4553450;3258050;53;–;3;3;3;–;–;4;16;4;11;11
CRS3035RES100mN3258000E4553500;4553550;3258050;16;–;3;–;–;–;–;–;6;4;3;3
CRS3035RES100mN3258000E4553600;4553650;3258050;27;–;–;6;3;–;–;–;8;–;–;3
CRS3035RES100mN3258000E4553700;4553750;3258050;40;–;–;3;3;3;3;3;11;8;–;8
CRS3035RES100mN3258000E4553800;4553850;3258050;50;–;4;3;3;–;3;12;11;4;6;10
CRS3035RES100mN3258000E4553900;4553950;3258050;36;–;–;3;8;–;–;–;15;3;4;3
CRS3035RES100mN3258000E4554000;4554050;3258050;31;–;–;–;3;–;–;3;7;6;3;8
CRS3035RES100mN3258000E4569300;4569350;3258050;6;–;–;–;–;–;–;–;–;4;–;–
CRS3035RES100mN3258000E4569400;4569450;3258050;34;–;3;–;–;–;3;5;10;4;–;3
CRS3035RES100mN3258000E4569500;4569550;3258050;76;–;–;3;4;4;4;24;17;5;8;3
CRS3035RES100mN3258000E4569600;4569650;3258050;13;–;–;–;–;–;–;–;3;3;3;6
CRS3035RES100mN3258000E4569900;4569950;3258050;3;–;–;–;–;–;–;–;–;–;–;–
CRS3035RES100mN3258000E4570000;4570050;3258050;12;–;–;–;–;–;–;4;3;–;–;–
CRS3035RES100mN3258100E4551600;4551650;3258150;33;–;–;–;–;–;3;9;14;4;7;–
CRS3035RES100mN3258100E4551700;4551750;3258150;18;–;–;3;3;–;3;3;3;3;3;–
CRS3035RES100mN3258100E4551800;4551850;3258150;13;–;–;3;–;–;–;3;–;4;3;3
CRS3035RES100mN3258100E4551900;4551950;3258150;31;–;–;–;–;3;3;3;11;6;6;5
CRS3035RES100mN3258100E4552000;4552050;3258150;32;–;–;–;–;–;–;3;4;8;7;–
CRS3035RES100mN3258100E4552100;4552150;3258150;79;3;–;–;6;–;6;15;27;8;6;4
CRS3035RES100mN3258100E4552200;4552250;3258150;46;–;3;3;–;–;3;7;7;6;8;6
CRS3035RES100mN3258100E4552400;4552450;3258150;29;3;–;–;–;–;–;3;7;7;6;3
CRS3035RES100mN3258100E4552500;4552550;3258150;37;3;3;6;–;–;–;10;10;11;3;–
CRS3035RES100mN3258100E4552600;4552650;3258150;19;–;–;–;–;–;3;–;5;3;7;–
CRS3035RES100mN3258100E4552700;4552750;3258150;34;–;4;4;3;–;3;7;5;–;3;6
CRS3035RES100mN3258100E4552800;4552850;3258150;19;3;–;–;–;–;3;8;8;3;–;–
CRS3035RES100mN3258100E4552900;4552950;3258150;37;–;–;3;–;–;4;5;12;4;4;–
CRS3035RES100mN3258100E4553000;4553050;3258150;6;–;–;–;–;–;–;–;–;–;–;–
CRS3035RES100mN3258100E4553100;4553150;3258150;8;–;–;–;–;–;3;–;3;–;–;–
CRS3035RES100mN3258100E4553200;4553250;3258150;69;–;3;3;3;4;3;10;23;9;3;9
CRS3035RES100mN3258100E4553300;4553350;3258150;40;3;–;3;5;–;–;10;6;3;8;5
CRS3035RES100mN3258100E4553400;4553450;3258150;47;–;3;3;3;3;–;5;10;–;7;14
CRS3035RES100mN3258100E4553500;4553550;3258150;49;3;3;–;–;–;3;3;11;3;5;13
CRS3035RES100mN3258100E4553600;4553650;3258150;38;–;3;–;3;–;3;7;10;–;7;4
CRS3035RES100mN3258100E4553700;4553750;3258150;36;–;–;–;3;–;–;3;10;–;7;6
CRS3035RES100mN3258100E4553800;4553850;3258150;36;–;3;3;–;–;3;4;13;5;–;4
CRS3035RES100mN3258100E4553900;4553950;3258150;40;–;3;–;–;–;4;3;10;8;8;6
CRS3035RES100mN3258100E4554000;4554050;3258150;39;4;–;3;3;3;3;3;11;10;10;5
CRS3035RES100mN3258100E4566800;4566850;3258150;30;3;3;–;3;3;–;8;6;–;3;3
CRS3035RES100mN3258100E4566900;4566950;3258150;15;–;–;–;–;–;3;3;5;3;–;–
CRS3035RES100mN3258100E4569000;4569050;3258150;5;–;–;–;–;–;–;–;–;–;–;–
CRS3035RES100mN3258100E4569100;4569150;3258150;7;–;–;–;–;–;–;–;–;–;–;–
CRS3035RES100mN3258100E4569200;4569250;3258150;25;–;3;–;3;–;3;5;9;–;3;3
CRS3035RES100mN3258100E4569300;4569350;3258150;10;–;–;–;–;–;–;3;4;–;–;–
CRS3035RES100mN3258100E4569400;4569450;3258150;11;–;–;–;–;–;–;–;4;3;3;–
CRS3035RES100mN3258100E4569500;4569550;3258150;35;–;–;6;–;–;–;4;18;4;3;–
CRS3035RES100mN3258100E4569600;4569650;3258150;11;3;–;–;–;–;–;–;–;–;3;3
CRS3035RES100mN3258100E4569900;4569950;3258150;3;–;–;–;–;–;–;–;–;–;–;–
CRS3035RES100mN3258100E4572600;4572650;3258150;11;–;–;3;–;–;–;3;5;3;–;–
CRS3035RES100mN3258100E4572700;4572750;3258150;18;–;–;–;3;–;–;–;7;–;4;3
CRS3035RES100mN3258200E4551600;4551650;3258250;42;4;3;4;3;–;3;9;6;8;–;5
CRS3035RES100mN3258200E4551700;4551750;3258250;64;–;3;–;–;3;3;11;17;6;10;14
CRS3035RES100mN3258200E4551800;4551850;3258250;51;3;–;3;7;4;–;7;13;5;3;6
CRS3035RES100mN3258200E4551900;4551950;3258250;70;–;3;–;–;–;3;10;25;6;11;10
CRS3035RES100mN3258200E4552000;4552050;3258250;31;3;3;–;–;–;4;3;7;–;4;5
CRS3035RES100mN3258200E4552100;4552150;3258250;156;11;7;7;–;4;6;46;31;8;9;15
CRS3035RES100mN3258200E4552300;4552350;3258250;51;–;–;–;3;–;3;10;27;7;3;–
CRS3035RES100mN3258200E4552400;4552450;3258250;35;3;3;4;–;–;–;8;10;3;4;4
CRS3035RES100mN3258200E4552500;4552550;3258250;38;–;3;3;–;3;–;11;5;–;4;9
CRS3035RES100mN3258200E4552600;4552650;3258250;56;3;–;3;6;–;4;13;13;5;5;7
CRS3035RES100mN3258200E4552700;4552750;3258250;34;3;3;–;–;–;4;4;5;7;–;8
CRS3035RES100mN3258200E4553000;4553050;3258250;32;–;–;–;–;–;–;4;9;5;4;9
CRS3035RES100mN3258200E4553100;4553150;3258250;92;3;6;4;3;–;3;24;24;5;8;7
CRS3035RES100mN3258200E4553200;4553250;3258250;55;–;3;5;3;–;–;20;7;4;5;5
CRS3035RES100mN3258200E4553300;4553350;3258250;29;4;–;–;3;–;4;3;6;–;–;–
CRS3035RES100mN3258200E4553400;4553450;3258250;37;–;–;3;10;–;–;–;17;–;3;8
CRS3035RES100mN3258200E4553500;4553550;3258250;42;3;–;–;–;5;–;11;13;–;7;3
CRS3035RES100mN3258200E4553600;4553650;3258250;26;–;–;–;–;3;3;4;10;–;3;4
CRS3035RES100mN3258200E4553700;4553750;3258250;30;–;–;3;–;3;3;–;8;7;3;8
CRS3035RES100mN3258200E4553800;4553850;3258250;37;3;–;3;3;–;–;4;10;6;5;6
CRS3035RES100mN3258200E4553900;4553950;3258250;33;–;–;–;–;–;3;9;9;3;5;6
CRS3035RES100mN3258200E4554000;4554050;3258250;37;–;–;3;–;–;3;6;11;5;3;5
CRS3035RES100mN3258200E4566800;4566850;3258250;33;3;3;3;–;–;–;9;8;–;5;3
CRS3035RES100mN3258200E4566900;4566950;3258250;13;–;3;–;–;–;–;–;3;–;4;3
CRS3035RES100mN3258200E4567000;4567050;3258250;11;–;–;–;–;–;–;–;3;–;3;6
CRS3035RES100mN3258200E4569000;4569050;3258250;11;–;–;–;–;–;–;–;5;–;3;4
CRS3035RES100mN3258200E4569100;4569150;3258250;25;–;–;–;3;–;3;9;4;–;3;–
CRS3035RES100mN3258200E4569200;4569250;3258250;9;–;–;–;3;–;–;–;5;–;3;–
CRS3035RES100mN3258200E4569300;4569350;3258250;17;–;–;–;3;3;–;3;3;–;4;–
CRS3035RES100mN3258200E4569400;4569450;3258250;34;–;–;–;3;–;3;–;16;5;–;4
CRS3035RES100mN3258200E4569500;4569550;3258250;6;–;–;–;–;–;–;–;–;–;–;–
CRS3035RES100mN3258200E4572600;4572650;3258250;13;–;–;–;–;–;3;3;6;–;–;–
CRS3035RES100mN3258200E4572700;4572750;3258250;24;–;–;3;3;–;–;5;7;6;–;5
CRS3035RES100mN3258300E4551600;4551650;3258350;36;–;–;–;–;–;6;4;7;8;4;6
CRS3035RES100mN3258300E4551700;4551750;3258350;38;–;–;3;3;–;–;6;12;–;–;8
CRS3035RES100mN3258300E4551800;4551850;3258350;30;–;–;3;–;–;–;5;5;3;7;10
CRS3035RES100mN3258300E4551900;4551950;3258350;53;3;4;3;–;–;3;10;21;3;5;6
CRS3035RES100mN3258300E4552000;4552050;3258350;82;3;5;–;4;–;6;26;19;7;3;6
CRS3035RES100mN3258300E4552100;4552150;3258350;153;9;5;4;13;6;17;42;41;10;–;7
CRS3035RES100mN3258300E4552200;4552250;3258350;13;–;3;3;–;–;3;–;3;–;–;3
CRS3035RES100mN3258300E4552300;4552350;3258350;104;4;–;4;5;3;9;23;37;8;9;4
CRS3035RES100mN3258300E4552400;4552450;3258350;56;–;–;3;–;3;4;12;17;4;3;7
