GITTER_ID_100m;x_mp_100m;y_mp_100m;Insgesamt_Familie;Ehep_ohneKind;Ehep_mind_1Kind_unter18;Ehep_Kinder_ab18;EingetrLP_ohneKind;EingetrLP_mind_1Kind_unter18;EingetrLP_Kinder_ab18;NichtehelLG_ohneKind;NichtehelLG_mind_1Kind_unter18;NichtehelLG_Kinder_ab18;Vater_mind_1Kind_unter18;Vater_Kinder_ab18;Mutter_mind_1Kind_unter18;Mutter_Kinder_ab18
CRS3035RES100mN3257800E4553600;4553650;3257850;3;–;–;–;–;–;–;–;–;–;–;–;–;–
CRS3035RES100mN3257800E4569000;4569050;3257850;11;–;3;–;–;–;–;–;3;–;–;–;3;–
CRS3035RES100mN3257800E4569300;4569350;3257850;3;4;–;–;–;–;–;–;–;–;–;–;–;–
CRS3035RES100mN3257800E4569400;4569450;3257850;7;3;4;–;–;–;–;–;–;–;–;–;–;–
CRS3035RES100mN3257900E4533900;4533950;3257950;4;–;4;–;–;–;–;–;–;–;–;–;–;–
CRS3035RES100mN3257900E4534000;4534050;3257950;3;3;–;–;–;–;–;–;–;–;–;–;3;–
CRS3035RES100mN3257900E4551700;4551750;3257950;6;5;3;–;–;–;–;–;–;–;–;–;–;–
CRS3035RES100mN3257900E4551800;4551850;3257950;12;–;7;3;–;–;–;–;–;–;–;–;–;–
CRS3035RES100mN3257900E4551900;4551950;3257950;8;4;–;–;3;–;–;–;–;–;–;–;–;–
CRS3035RES100mN3257900E4552000;4552050;3257950;15;9;–;4;–;–;–;–;–;–;–;–;3;–
CRS3035RES100mN3257900E4552100;4552150;3257950;6;4;–;–;–;–;–;–;–;–;–;–;–;–
CRS3035RES100mN3257900E4552200;4552250;3257950;22;10;3;–;3;–;–;3;–;–;–;–;7;3
CRS3035RES100mN3257900E4552400;4552450;3257950;15;9;–;3;–;–;–;–;–;–;–;–;–;–
CRS3035RES100mN3257900E4552500;4552550;3257950;16;7;7;3;–;–;–;–;–;–;–;–;–;–
CRS3035RES100mN3257900E4552600;4552650;3257950;13;10;3;–;–;–;–;–;–;–;–;–;3;3
CRS3035RES100mN3257900E4552700;4552750;3257950;14;4;3;–;–;–;–;3;3;–;–;–;3;–
CRS3035RES100mN3257900E4552800;4552850;3257950;10;5;6;3;–;–;–;–;–;–;–;–;–;–
CRS3035RES100mN3257900E4552900;4552950;3257950;10;4;–;–;–;–;–;–;–;–;–;–;–;6
CRS3035RES100mN3257900E4553000;4553050;3257950;8;–;5;–;–;–;–;–;–;–;–;–;–;–
CRS3035RES100mN3257900E4553200;4553250;3257950;13;8;–;–;–;–;–;–;–;–;–;3;–;–
CRS3035RES100mN3257900E4553300;4553350;3257950;4;–;–;–;–;–;–;–;–;–;–;–;–;–
CRS3035RES100mN3257900E4553400;4553450;3257950;7;5;4;–;–;–;–;–;–;–;–;–;–;–
CRS3035RES100mN3257900E4553500;4553550;3257950;13;8;3;–;–;–;–;3;–;–;–;–;–;–
CRS3035RES100mN3257900E4553600;4553650;3257950;12;10;6;3;–;–;–;–;3;–;–;–;–;–
CRS3035RES100mN3257900E4553700;4553750;3257950;8;4;3;3;–;–;–;–;–;–;–;–;–;–
CRS3035RES100mN3257900E4553800;4553850;3257950;8;–;–;–;–;–;–;–;–;–;–;–;–;–
CRS3035RES100mN3257900E4553900;4553950;3257950;7;–;–;–;–;–;–;–;–;–;–;–;–;–
CRS3035RES100mN3257900E4569000;4569050;3257950;9;4;–;–;–;–;–;3;–;–;–;–;–;–
CRS3035RES100mN3257900E4569300;4569350;3257950;3;3;–;–;–;–;–;–;3;–;–;–;3;–
CRS3035RES100mN3257900E4569400;4569450;3257950;7;–;–;–;–;–;–;–;–;–;–;–;–;–
CRS3035RES100mN3257900E4569800;4569850;3257950;3;–;–;–;–;–;–;–;–;–;–;–;–;–
CRS3035RES100mN3258000E4533900;4533950;3258050;6;3;3;–;–;–;–;–;–;–;–;–;–;–
CRS3035RES100mN3258000E4551600;4551650;3258050;15;5;7;4;–;–;–;–;–;–;–;–;–;–
CRS3035RES100mN3258000E4551700;4551750;3258050;7;–;3;3;–;–;–;–;–;–;–;–;–;–
CRS3035RES100mN3258000E4551800;4551850;3258050;12;8;4;–;–;–;–;–;–;–;–;–;3;–
CRS3035RES100mN3258000E4551900;4551950;3258050;16;11;3;–;–;–;–;–;–;–;–;–;–;3
CRS3035RES100mN3258000E4552000;4552050;3258050;14;7;–;3;–;–;–;–;–;–;–;–;–;3
CRS3035RES100mN3258000E4552100;4552150;3258050;10;3;3;–;–;–;–;–;–;–;–;–;–;–
CRS3035RES100mN3258000E4552200;4552250;3258050;32;3;9;7;–;–;–;4;4;–;3;–;3;4
CRS3035RES100mN3258000E4552300;4552350;3258050;4;–;–;–;–;–;–;–;–;–;–;–;–;–
CRS3035RES100mN3258000E4552400;4552450;3258050;8;–;–;–;–;–;–;–;–;–;–;–;–;–
CRS3035RES100mN3258000E4552500;4552550;3258050;10;5;–;5;–;–;–;–;–;–;–;–;3;–
CRS3035RES100mN3258000E4552600;4552650;3258050;14;6;6;3;–;–;–;–;–;–;–;–;–;–
CRS3035RES100mN3258000E4552700;4552750;3258050;15;7;3;–;–;–;–;–;–;–;–;–;–;3
CRS3035RES100mN3258000E4552800;4552850;3258050;14;6;4;–;–;–;–;–;–;–;–;–;–;–
CRS3035RES100mN3258000E4552900;4552950;3258050;10;4;3;–;–;–;–;–;3;–;–;–;3;–
CRS3035RES100mN3258000E4553200;4553250;3258050;10;10;–;–;–;–;–;–;–;–;–;–;3;–
CRS3035RES100mN3258000E4553300;4553350;3258050;12;4;–;3;–;–;–;–;–;–;–;–;–;–
CRS3035RES100mN3258000E4553400;4553450;3258050;17;7;4;–;–;–;–;3;–;–;–;–;–;–
CRS3035RES100mN3258000E4553500;4553550;3258050;5;–;–;–;–;–;–;–;–;–;–;–;–;–
CRS3035RES100mN3258000E4553600;4553650;3258050;7;–;–;3;–;–;–;–;–;–;–;–;–;–
CRS3035RES100mN3258000E4553700;4553750;3258050;9;4;4;–;–;–;–;–;–;–;–;–;–;–
CRS3035RES100mN3258000E4553800;4553850;3258050;16;3;7;–;–;–;–;–;3;–;–;–;–;–
CRS3035RES100mN3258000E4553900;4553950;3258050;14;4;5;–;–;–;–;3;–;–;–;–;–;–
CRS3035RES100mN3258000E4554000;4554050;3258050;12;6;–;–;–;–;–;–;–;–;–;–;–;–
CRS3035RES100mN3258000E4569300;4569350;3258050;3;3;–;–;–;–;–;3;–;–;–;–;–;–
CRS3035RES100mN3258000E4569400;4569450;3258050;11;4;–;–;–;–;–;–;3;–;–;–;–;3
CRS3035RES100mN3258000E4569500;4569550;3258050;22;8;3;–;–;–;–;3;4;–;–;3;3;3
CRS3035RES100mN3258000E4569600;4569650;3258050;3;3;–;–;3;–;–;–;–;–;–;–;–;–
CRS3035RES100mN3258100E4551600;4551650;3258150;15;8;3;–;–;–;–;–;–;–;–;–;–;3
CRS3035RES100mN3258100E4551700;4551750;3258150;3;–;–;–;–;–;–;–;–;–;–;–;–;–
CRS3035RES100mN3258100E4551800;4551850;3258150;4;–;–;–;–;–;–;–;–;–;–;–;–;–
CRS3035RES100mN3258100E4551900;4551950;3258150;7;4;–;–;–;–;–;–;–;–;–;–;–;3
CRS3035RES100mN3258100E4552000;4552050;3258150;7;3;–;–;–;–;–;3;–;–;–;–;–;3
CRS3035RES100mN3258100E4552100;4552150;3258150;14;4;7;–;–;–;–;–;3;–;–;–;3;–
CRS3035RES100mN3258100E4552200;4552250;3258150;9;–;–;–;–;–;–;–;–;–;–;–;–;–
CRS3035RES100mN3258100E4552400;4552450;3258150;10;3;–;–;–;–;–;–;3;–;–;–;3;–
CRS3035RES100mN3258100E4552500;4552550;3258150;5;–;4;–;–;–;–;–;–;–;–;–;–;–
CRS3035RES100mN3258100E4552600;4552650;3258150;5;3;3;–;–;–;–;–;–;–;–;–;–;–
CRS3035RES100mN3258100E4552700;4552750;3258150;9;3;4;–;–;–;–;–;–;–;–;–;–;3
CRS3035RES100mN3258100E4552800;4552850;3258150;5;3;3;3;–;–;–;–;–;–;–;–;–;–
CRS3035RES100mN3258100E4552900;4552950;3258150;12;3;3;–;–;–;–;–;–;–;–;–;3;–
CRS3035RES100mN3258100E4553200;4553250;3258150;14;7;5;–;–;–;–;–;3;–;–;–;–;–
CRS3035RES100mN3258100E4553300;4553350;3258150;10;4;3;3;–;–;–;–;–;–;–;–;3;–
CRS3035RES100mN3258100E4553400;4553450;3258150;17;10;3;–;–;–;–;3;–;–;–;–;3;–
CRS3035RES100mN3258100E4553500;4553550;3258150;15;7;5;3;–;–;–;–;3;–;–;–;–;–
CRS3035RES100mN3258100E4553600;4553650;3258150;13;3;3;–;–;–;–;–;–;–;–;–;–;–
CRS3035RES100mN3258100E4553700;4553750;3258150;12;5;–;4;–;–;–;–;–;–;–;–;–;–
CRS3035RES100mN3258100E4553800;4553850;3258150;9;5;3;3;–;–;–;–;–;–;–;–;–;–
CRS3035RES100mN3258100E4553900;4553950;3258150;11;5;–;–;–;–;–;–;–;–;–;–;–;3
CRS3035RES100mN3258100E4554000;4554050;3258150;12;3;3;3;–;–;–;–;–;–;–;3;–;–
CRS3035RES100mN3258100E4566800;4566850;3258150;12;–;–;–;–;–;–;–;–;–;–;–;–;–
CRS3035RES100mN3258100E4569100;4569150;3258150;3;–;–;–;–;–;–;–;–;–;–;–;–;–
CRS3035RES100mN3258100E4569200;4569250;3258150;8;–;–;–;–;–;–;–;–;–;–;–;–;–
CRS3035RES100mN3258100E4569300;4569350;3258150;5;5;–;–;–;–;–;–;–;–;–;–;–;–
CRS3035RES100mN3258100E4569500;4569550;3258150;6;3;–;–;–;–;–;–;3;–;–;–;3;–
CRS3035RES100mN3258100E4572600;4572650;3258150;7;4;–;–;–;–;–;–;–;–;–;3;–;–
CRS3035RES100mN3258100E4572700;4572750;3258150;5;4;–;–;–;–;–;–;–;–;–;–;3;–
CRS3035RES100mN3258200E4551600;4551650;3258250;14;5;–;3;–;–;–;–;–;–;–;–;–;–
CRS3035RES100mN3258200E4551700;4551750;3258250;14;8;6;–;–;–;–;–;–;–;–;–;3;–
CRS3035RES100mN3258200E4551800;4551850;3258250;13;3;6;–;–;–;–;3;–;–;–;–;3;–
