GITTER_ID_100m;x_mp_100m;y_mp_100m;durchschnFlaechejeBew;werterlaeuternde_Zeichen
CRS3035RES100mN3258200E4553800;4553850;3258250;5939;NA
CRS3035RES100mN3258200E4553900;4553950;3258250;5687;NA
CRS3035RES100mN3258200E4554000;4554050;3258250;6399;NA
CRS3035RES100mN3258200E4566800;4566850;3258250;5348;NA
CRS3035RES100mN3258200E4566900;4566950;3258250;5220;NA
CRS3035RES100mN3258200E4567000;4567050;3258250;8234;NA
CRS3035RES100mN3258200E4569000;4569050;3258250;6309;NA
CRS3035RES100mN3258200E4569100;4569150;3258250;4913;NA
CRS3035RES100mN3258200E4569200;4569250;3258250;6347;NA
CRS3035RES100mN3258200E4569300;4569350;3258250;8131;NA
CRS3035RES100mN3258200E4569400;4569450;3258250;5921;NA
CRS3035RES100mN3258200E4569500;4569550;3258250;7530;NA
CRS3035RES100mN3258200E4572600;4572650;3258250;3434;NA
CRS3035RES100mN3258200E4572700;4572750;3258250;5241;NA
CRS3035RES100mN3258300E4551600;4551650;3258350;6490;NA
CRS3035RES100mN3258300E4551700;4551750;3258350;6293;NA
CRS3035RES100mN3258300E4551800;4551850;3258350;6567;NA
CRS3035RES100mN3258300E4551900;4551950;3258350;7180;NA
CRS3035RES100mN3258300E4552000;4552050;3258350;4736;NA
CRS3035RES100mN3258300E4552100;4552150;3258350;4285;NA
CRS3035RES100mN3258300E4552200;4552250;3258350;2979;NA
CRS3035RES100mN3258300E4552300;4552350;3258350;3824;NA
CRS3035RES100mN3258300E4552400;4552450;3258350;4457;NA
CRS3035RES100mN3258300E4552500;4552550;3258350;7000;NA
CRS3035RES100mN3258300E4552600;4552650;3258350;3546;NA
CRS3035RES100mN3258300E4552700;4552750;3258350;6213;NA
CRS3035RES100mN3258300E4552800;4552850;3258350;2959;NA
CRS3035RES100mN3258300E4553000;4553050;3258350;7941;NA
CRS3035RES100mN3258300E4553100;4553150;3258350;4053;NA
CRS3035RES100mN3258300E4553200;4553250;3258350;5086;NA
CRS3035RES100mN3258300E4553300;4553350;3258350;5107;NA
CRS3035RES100mN3258300E4553400;4553450;3258350;5722;NA
CRS3035RES100mN3258300E4553500;4553550;3258350;6774;NA
CRS3035RES100mN3258300E4553600;4553650;3258350;7307;NA
CRS3035RES100mN3258300E4553700;4553750;3258350;5294;NA
CRS3035RES100mN3258300E4553800;4553850;3258350;6364;NA
CRS3035RES100mN3258300E4553900;4553950;3258350;7796;NA
CRS3035RES100mN3258300E4554000;4554050;3258350;7588;NA
CRS3035RES100mN3258300E4554100;4554150;3258350;5991;NA
CRS3035RES100mN3258300E4567000;4567050;3258350;6143;NA
CRS3035RES100mN3258300E4567100;4567150;3258350;5571;NA
CRS3035RES100mN3258300E4567200;4567250;3258350;5816;NA
CRS3035RES100mN3258300E4569000;4569050;3258350;7366;NA
CRS3035RES100mN3258300E4569400;4569450;3258350;6306;NA
CRS3035RES100mN3258300E4572600;4572650;3258350;9119;NA
CRS3035RES100mN3258300E4572700;4572750;3258350;9100;NA
CRS3035RES100mN3258400E4551600;4551650;3258450;6580;NA
CRS3035RES100mN3258400E4551700;4551750;3258450;8001;NA
CRS3035RES100mN3258400E4551800;4551850;3258450;7395;NA
CRS3035RES100mN3258400E4551900;4551950;3258450;5934;NA
CRS3035RES100mN3258400E4552000;4552050;3258450;4677;NA
CRS3035RES100mN3258400E4552200;4552250;3258450;3928;NA
CRS3035RES100mN3258400E4552300;4552350;3258450;4688;NA
CRS3035RES100mN3258400E4552400;4552450;3258450;8508;NA
CRS3035RES100mN3258400E4552500;4552550;3258450;5168;NA
CRS3035RES100mN3258400E4552600;4552650;3258450;4067;NA
CRS3035RES100mN3258400E4552700;4552750;3258450;4703;NA
CRS3035RES100mN3258400E4552800;4552850;3258450;5385;NA
CRS3035RES100mN3258400E4552900;4552950;3258450;5972;NA
CRS3035RES100mN3258400E4553000;4553050;3258450;4130;NA
CRS3035RES100mN3258400E4553100;4553150;3258450;4966;NA
CRS3035RES100mN3258400E4553200;4553250;3258450;5680;NA
CRS3035RES100mN3258400E4553300;4553350;3258450;6588;NA
CRS3035RES100mN3258400E4553400;4553450;3258450;6299;NA
CRS3035RES100mN3258400E4553500;4553550;3258450;4708;NA
CRS3035RES100mN3258400E4553600;4553650;3258450;5931;NA
CRS3035RES100mN3258400E4553700;4553750;3258450;5602;NA
CRS3035RES100mN3258400E4553800;4553850;3258450;6976;NA
CRS3035RES100mN3258400E4553900;4553950;3258450;5914;NA
CRS3035RES100mN3258400E4554000;4554050;3258450;5494;NA
CRS3035RES100mN3258400E4554100;4554150;3258450;5432;NA
CRS3035RES100mN3258400E4567100;4567150;3258450;7247;NA
CRS3035RES100mN3258400E4567200;4567250;3258450;5537;NA
CRS3035RES100mN3258400E4567300;4567350;3258450;6896;NA
CRS3035RES100mN3258400E4567400;4567450;3258450;7091;NA
CRS3035RES100mN3258400E4569000;4569050;3258450;4576;NA
CRS3035RES100mN3258400E4569100;4569150;3258450;6649;NA
CRS3035RES100mN3258400E4569300;4569350;3258450;6187;NA
CRS3035RES100mN3258400E4569400;4569450;3258450;6103;NA
CRS3035RES100mN3258400E4569500;4569550;3258450;5914;NA
CRS3035RES100mN3258500E4551600;4551650;3258550;6315;NA
CRS3035RES100mN3258500E4551700;4551750;3258550;6229;NA
CRS3035RES100mN3258500E4551800;4551850;3258550;6041;NA
CRS3035RES100mN3258500E4551900;4551950;3258550;5430;NA
CRS3035RES100mN3258500E4552000;4552050;3258550;4976;NA
CRS3035RES100mN3258500E4552300;4552350;3258550;3941;NA
CRS3035RES100mN3258500E4552400;4552450;3258550;4584;NA
CRS3035RES100mN3258500E4552500;4552550;3258550;4262;NA
CRS3035RES100mN3258500E4552600;4552650;3258550;4684;NA
CRS3035RES100mN3258500E4552700;4552750;3258550;7514;NA
CRS3035RES100mN3258500E4552800;4552850;3258550;4276;NA
CRS3035RES100mN3258500E4552900;4552950;3258550;5634;NA
CRS3035RES100mN3258500E4553000;4553050;3258550;5373;NA
CRS3035RES100mN3258500E4553100;4553150;3258550;5544;NA
CRS3035RES100mN3258500E4553200;4553250;3258550;5111;NA
CRS3035RES100mN3258500E4553300;4553350;3258550;5788;NA
CRS3035RES100mN3258500E4553400;4553450;3258550;7723;NA
CRS3035RES100mN3258500E4553500;4553550;3258550;5849;NA
CRS3035RES100mN3258500E4553600;4553650;3258550;5507;NA
CRS3035RES100mN3258500E4553700;4553750;3258550;6913;NA
CRS3035RES100mN3258500E4553800;4553850;3258550;4143;NA
CRS3035RES100mN3258500E4553900;4553950;3258550;5255;NA
CRS3035RES100mN3258500E4554000;4554050;3258550;6561;NA
CRS3035RES100mN3258500E4554100;4554150;3258550;5219;NA
CRS3035RES100mN3258500E4567200;4567250;3258550;3433;NA
CRS3035RES100mN3258500E4567300;4567350;3258550;3701;NA
CRS3035RES100mN3258500E4567400;4567450;3258550;6990;NA
CRS3035RES100mN3258500E4567500;4567550;3258550;6923;NA
CRS3035RES100mN3258500E4569000;4569050;3258550;3957;NA
CRS3035RES100mN3258500E4569100;4569150;3258550;6051;NA
CRS3035RES100mN3258500E4569200;4569250;3258550;8743;NA
CRS3035RES100mN3258500E4569400;4569450;3258550;12000;NA
CRS3035RES100mN3258500E4569500;4569550;3258550;8537;NA
CRS3035RES100mN3258600E4536200;4536250;3258650;5111;NA
CRS3035RES100mN3258600E4536300;4536350;3258650;4879;NA
CRS3035RES100mN3258600E4551000;4551050;3258650;5442;NA
CRS3035RES100mN3258600E4551100;4551150;3258650;5289;NA
CRS3035RES100mN3258600E4551300;4551350;3258650;5530;NA
CRS3035RES100mN3258600E4551600;4551650;3258650;4635;NA
CRS3035RES100mN3258600E4551700;4551750;3258650;5588;NA
CRS3035RES100mN3258600E4551800;4551850;3258650;5533;NA
CRS3035RES100mN3258600E4551900;4551950;3258650;5327;NA
CRS3035RES100mN3258600E4552000;4552050;3258650;6935;NA
CRS3035RES100mN3258600E4552100;4552150;3258650;6503;NA
CRS3035RES100mN3258600E4552200;4552250;3258650;5532;NA
CRS3035RES100mN3258600E4552300;4552350;3258650;6819;NA
CRS3035RES100mN3258600E4552400;4552450;3258650;8620;NA
CRS3035RES100mN3258600E4552500;4552550;3258650;5699;NA
CRS3035RES100mN3258600E4552600;4552650;3258650;8020;NA
CRS3035RES100mN3258600E4552700;4552750;3258650;5206;NA
CRS3035RES100mN3258600E4552800;4552850;3258650;5353;NA
CRS3035RES100mN3258600E4552900;4552950;3258650;6459;NA
CRS3035RES100mN3258600E4553000;4553050;3258650;6361;NA
CRS3035RES100mN3258600E4553100;4553150;3258650;5474;NA
CRS3035RES100mN3258600E4553200;4553250;3258650;4809;NA
CRS3035RES100mN3258600E4553300;4553350;3258650;4602;NA
CRS3035RES100mN3258600E4553400;4553450;3258650;4772;NA
CRS3035RES100mN3258600E4553500;4553550;3258650;4651;NA
CRS3035RES100mN3258600E4553600;4553650;3258650;4460;NA
CRS3035RES100mN3258600E4553700;4553750;3258650;4470;NA
CRS3035RES100mN3258600E4553800;4553850;3258650;5927;NA
CRS3035RES100mN3258600E4553900;4553950;3258650;5796;NA
CRS3035RES100mN3258600E4554000;4554050;3258650;7188;NA
CRS3035RES100mN3258600E4554100;4554150;3258650;5968;NA
CRS3035RES100mN3258600E4567400;4567450;3258650;4339;NA
CRS3035RES100mN3258600E4567500;4567550;3258650;4080;NA
CRS3035RES100mN3258600E4567600;4567650;3258650;6711;NA
CRS3035RES100mN3258600E4567700;4567750;3258650;5923;NA
CRS3035RES100mN3258600E4569100;4569150;3258650;9651;NA
CRS3035RES100mN3258700E4534600;4534650;3258750;6657;NA
CRS3035RES100mN3258700E4536100;4536150;3258750;10173;NA
CRS3035RES100mN3258700E4536200;4536250;3258750;4733;NA
CRS3035RES100mN3258700E4536300;4536350;3258750;8627;NA
CRS3035RES100mN3258700E4551000;4551050;3258750;7081;NA
CRS3035RES100mN3258700E4551100;4551150;3258750;6168;NA
CRS3035RES100mN3258700E4551200;4551250;3258750;6273;NA
CRS3035RES100mN3258700E4551300;4551350;3258750;6058;NA
CRS3035RES100mN3258700E4551400;4551450;3258750;5127;NA
CRS3035RES100mN3258700E4551500;4551550;3258750;7577;NA
CRS3035RES100mN3258700E4551600;4551650;3258750;7335;NA
CRS3035RES100mN3258700E4551700;4551750;3258750;5699;NA
CRS3035RES100mN3258700E4551800;4551850;3258750;9901;NA
CRS3035RES100mN3258700E4551900;4551950;3258750;6589;NA
CRS3035RES100mN3258700E4552000;4552050;3258750;4466;NA
CRS3035RES100mN3258700E4552100;4552150;3258750;5201;NA
CRS3035RES100mN3258700E4552200;4552250;3258750;6531;NA
CRS3035RES100mN3258700E4552300;4552350;3258750;6697;NA
CRS3035RES100mN3258700E4552400;4552450;3258750;5088;NA
CRS3035RES100mN3258700E4552500;4552550;3258750;7237;NA
CRS3035RES100mN3258700E4552600;4552650;3258750;5138;NA
CRS3035RES100mN3258700E4552700;4552750;3258750;4895;NA
CRS3035RES100mN3258700E4552800;4552850;3258750;4824;NA
CRS3035RES100mN3258700E4552900;4552950;3258750;3276;NA
CRS3035RES100mN3258700E4553000;4553050;3258750;4836;NA
CRS3035RES100mN3258700E4553100;4553150;3258750;4726;NA
CRS3035RES100mN3258700E4553200;4553250;3258750;4665;NA
CRS3035RES100mN3258700E4553300;4553350;3258750;4849;NA
CRS3035RES100mN3258700E4553400;4553450;3258750;4326;NA
CRS3035RES100mN3258700E4553500;4553550;3258750;4472;NA
CRS3035RES100mN3258700E4553600;4553650;3258750;5977;NA
CRS3035RES100mN3258700E4553700;4553750;3258750;5173;NA
CRS3035RES100mN3258700E4553800;4553850;3258750;5849;NA
CRS3035RES100mN3258700E4553900;4553950;3258750;6607;NA
CRS3035RES100mN3258700E4554000;4554050;3258750;5113;NA
CRS3035RES100mN3258700E4567600;4567650;3258750;4904;NA
CRS3035RES100mN3258700E4567700;4567750;3258750;5578;NA
CRS3035RES100mN3258700E4567800;4567850;3258750;4550;NA
CRS3035RES100mN3258800E4534500;4534550;3258850;7238;NA
CRS3035RES100mN3258800E4534700;4534750;3258850;6445;NA
CRS3035RES100mN3258800E4534800;4534850;3258850;5327;NA
CRS3035RES100mN3258800E4534900;4534950;3258850;7005;NA
CRS3035RES100mN3258800E4535000;4535050;3258850;5507;NA
CRS3035RES100mN3258800E4551000;4551050;3258850;8960;NA
CRS3035RES100mN3258800E4551100;4551150;3258850;5771;NA
CRS3035RES100mN3258800E4551200;4551250;3258850;4033;NA
CRS3035RES100mN3258800E4551300;4551350;3258850;4766;NA
CRS3035RES100mN3258800E4551400;4551450;3258850;7406;NA
CRS3035RES100mN3258800E4551500;4551550;3258850;6110;NA
CRS3035RES100mN3258800E4551600;4551650;3258850;5055;NA
CRS3035RES100mN3258800E4551700;4551750;3258850;6109;NA
CRS3035RES100mN3258800E4551800;4551850;3258850;6960;NA
CRS3035RES100mN3258800E4551900;4551950;3258850;8100;NA
CRS3035RES100mN3258800E4552000;4552050;3258850;4945;NA
CRS3035RES100mN3258800E4552100;4552150;3258850;5408;NA
CRS3035RES100mN3258800E4552200;4552250;3258850;4540;NA
CRS3035RES100mN3258800E4552300;4552350;3258850;4698;NA
CRS3035RES100mN3258800E4552400;4552450;3258850;3391;NA
