GITTER_ID_100m;x_mp_100m;y_mp_100m;Insgesamt_Haushalte;1_Person;2_Personen;3_Personen;4_Personen;5_Personen;6_Personen_und_mehr
CRS3035RES100mN3258200E4553500;4553550;3258250;17;3;4;6;5;–;–
CRS3035RES100mN3258200E4553600;4553650;3258250;13;5;–;–;3;–;–
CRS3035RES100mN3258200E4553700;4553750;3258250;17;4;3;–;–;–;–
CRS3035RES100mN3258200E4553800;4553850;3258250;18;8;5;3;–;4;–
CRS3035RES100mN3258200E4553900;4553950;3258250;15;4;4;–;–;3;–
CRS3035RES100mN3258200E4554000;4554050;3258250;17;10;5;–;3;3;–
CRS3035RES100mN3258200E4566800;4566850;3258250;12;3;4;4;–;–;–
CRS3035RES100mN3258200E4566900;4566950;3258250;6;3;3;3;–;–;–
CRS3035RES100mN3258200E4567000;4567050;3258250;10;8;3;–;–;–;–
CRS3035RES100mN3258200E4569000;4569050;3258250;9;4;6;–;–;–;–
CRS3035RES100mN3258200E4569100;4569150;3258250;13;5;9;–;–;–;–
CRS3035RES100mN3258200E4569200;4569250;3258250;4;–;–;–;–;–;–
CRS3035RES100mN3258200E4569300;4569350;3258250;9;5;–;–;3;–;–
CRS3035RES100mN3258200E4569400;4569450;3258250;16;7;4;–;–;–;–
CRS3035RES100mN3258200E4569500;4569550;3258250;3;–;–;–;–;–;–
CRS3035RES100mN3258200E4572600;4572650;3258250;4;–;–;–;–;–;–
CRS3035RES100mN3258200E4572700;4572750;3258250;11;3;4;3;–;3;–
CRS3035RES100mN3258300E4551600;4551650;3258350;14;6;5;–;–;–;–
CRS3035RES100mN3258300E4551700;4551750;3258350;23;15;5;–;3;–;–
CRS3035RES100mN3258300E4551800;4551850;3258350;15;7;6;3;3;–;–
CRS3035RES100mN3258300E4551900;4551950;3258350;22;10;5;3;4;–;–
CRS3035RES100mN3258300E4552000;4552050;3258350;42;18;11;8;4;3;–
CRS3035RES100mN3258300E4552100;4552150;3258350;75;39;19;9;5;3;–
CRS3035RES100mN3258300E4552200;4552250;3258350;4;–;–;–;–;–;–
CRS3035RES100mN3258300E4552300;4552350;3258350;73;53;10;8;–;3;–
CRS3035RES100mN3258300E4552400;4552450;3258350;28;8;13;4;–;–;–
CRS3035RES100mN3258300E4552500;4552550;3258350;8;–;–;–;–;–;–
CRS3035RES100mN3258300E4552600;4552650;3258350;6;–;3;–;–;–;–
CRS3035RES100mN3258300E4552700;4552750;3258350;10;3;4;3;3;–;–
CRS3035RES100mN3258300E4552800;4552850;3258350;4;–;3;–;–;–;–
CRS3035RES100mN3258300E4553000;4553050;3258350;7;–;–;3;–;–;–
CRS3035RES100mN3258300E4553100;4553150;3258350;28;8;6;–;11;3;3
CRS3035RES100mN3258300E4553200;4553250;3258350;47;32;7;5;–;–;–
CRS3035RES100mN3258300E4553300;4553350;3258350;16;5;6;4;–;–;–
CRS3035RES100mN3258300E4553400;4553450;3258350;18;4;6;3;3;–;–
CRS3035RES100mN3258300E4553500;4553550;3258350;22;8;12;4;–;–;–
CRS3035RES100mN3258300E4553600;4553650;3258350;7;3;4;3;–;–;–
CRS3035RES100mN3258300E4553700;4553750;3258350;21;3;9;4;–;–;–
CRS3035RES100mN3258300E4553800;4553850;3258350;16;6;9;4;3;–;–
CRS3035RES100mN3258300E4553900;4553950;3258350;11;3;3;–;5;–;–
CRS3035RES100mN3258300E4554000;4554050;3258350;21;7;10;–;3;–;–
CRS3035RES100mN3258300E4554100;4554150;3258350;22;20;6;–;–;–;–
CRS3035RES100mN3258300E4567000;4567050;3258350;13;3;8;–;–;–;–
CRS3035RES100mN3258300E4567100;4567150;3258350;11;4;7;3;–;–;–
CRS3035RES100mN3258300E4567200;4567250;3258350;11;3;3;3;–;–;–
CRS3035RES100mN3258300E4569000;4569050;3258350;3;3;–;–;–;–;–
