GITTER_ID_100m;x_mp_100m;y_mp_100m;Durchschnittsalter;werterlaeuternde_Zeichen
CRS3035RES100mN3258300E4552000;4552050;3258350;3716;NA
CRS3035RES100mN3258300E4552100;4552150;3258350;3291;NA
CRS3035RES100mN3258300E4552200;4552250;3258350;3769;NA
CRS3035RES100mN3258300E4552300;4552350;3258350;4155;NA
CRS3035RES100mN3258300E4552400;4552450;3258350;4701;NA
CRS3035RES100mN3258300E4552500;4552550;3258350;4931;NA
CRS3035RES100mN3258300E4552600;4552650;3258350;3831;NA
CRS3035RES100mN3258300E4552700;4552750;3258350;5012;NA
CRS3035RES100mN3258300E4552800;4552850;3258350;3789;NA
CRS3035RES100mN3258300E4553000;4553050;3258350;5472;NA
CRS3035RES100mN3258300E4553100;4553150;3258350;3100;NA
CRS3035RES100mN3258300E4553200;4553250;3258350;4869;NA
CRS3035RES100mN3258300E4553300;4553350;3258350;4350;NA
CRS3035RES100mN3258300E4553400;4553450;3258350;4398;NA
CRS3035RES100mN3258300E4553500;4553550;3258350;4986;NA
CRS3035RES100mN3258300E4553600;4553650;3258350;6170;NA
CRS3035RES100mN3258300E4553700;4553750;3258350;5242;NA
CRS3035RES100mN3258300E4553800;4553850;3258350;5050;NA
CRS3035RES100mN3258300E4553900;4553950;3258350;4107;NA
CRS3035RES100mN3258300E4554000;4554050;3258350;6430;NA
CRS3035RES100mN3258300E4554100;4554150;3258350;5520;NA
CRS3035RES100mN3258300E4566900;4566950;3258350;4346;NA
CRS3035RES100mN3258300E4567000;4567050;3258350;6036;NA
CRS3035RES100mN3258300E4567100;4567150;3258350;5277;NA
CRS3035RES100mN3258300E4567200;4567250;3258350;4685;NA
CRS3035RES100mN3258300E4569000;4569050;3258350;4200;NA
CRS3035RES100mN3258300E4569400;4569450;3258350;5422;NA
CRS3035RES100mN3258300E4572600;4572650;3258350;4683;NA
CRS3035RES100mN3258300E4572700;4572750;3258350;5000;NA
CRS3035RES100mN3258400E4551600;4551650;3258450;5366;NA
CRS3035RES100mN3258400E4551700;4551750;3258450;5186;NA
CRS3035RES100mN3258400E4551800;4551850;3258450;4547;NA
CRS3035RES100mN3258400E4551900;4551950;3258450;4969;NA
CRS3035RES100mN3258400E4552000;4552050;3258450;4758;NA
CRS3035RES100mN3258400E4552200;4552250;3258450;4361;NA
CRS3035RES100mN3258400E4552300;4552350;3258450;4388;NA
CRS3035RES100mN3258400E4552400;4552450;3258450;6868;NA
CRS3035RES100mN3258400E4552500;4552550;3258450;5411;NA
CRS3035RES100mN3258400E4552600;4552650;3258450;3087;NA
CRS3035RES100mN3258400E4552700;4552750;3258450;3975;NA
CRS3035RES100mN3258400E4552800;4552850;3258450;3838;NA
CRS3035RES100mN3258400E4552900;4552950;3258450;3412;NA
CRS3035RES100mN3258400E4553000;4553050;3258450;4016;NA
CRS3035RES100mN3258400E4553100;4553150;3258450;5520;NA
CRS3035RES100mN3258400E4553200;4553250;3258450;5114;NA
CRS3035RES100mN3258400E4553300;4553350;3258450;5744;NA
CRS3035RES100mN3258400E4553400;4553450;3258450;5567;NA
CRS3035RES100mN3258400E4553500;4553550;3258450;3208;NA
CRS3035RES100mN3258400E4553600;4553650;3258450;4910;NA
CRS3035RES100mN3258400E4553700;4553750;3258450;4569;NA
CRS3035RES100mN3258400E4553800;4553850;3258450;3561;NA
CRS3035RES100mN3258400E4553900;4553950;3258450;4889;NA
CRS3035RES100mN3258400E4554000;4554050;3258450;5515;NA
CRS3035RES100mN3258400E4554100;4554150;3258450;5291;NA
CRS3035RES100mN3258400E4567100;4567150;3258450;5842;NA
CRS3035RES100mN3258400E4567200;4567250;3258450;3574;NA
CRS3035RES100mN3258400E4567300;4567350;3258450;4232;NA
CRS3035RES100mN3258400E4567400;4567450;3258450;4833;NA
CRS3035RES100mN3258400E4568900;4568950;3258450;6839;NA
CRS3035RES100mN3258400E4569000;4569050;3258450;4445;NA
CRS3035RES100mN3258400E4569100;4569150;3258450;5170;NA
CRS3035RES100mN3258400E4569300;4569350;3258450;5528;NA
CRS3035RES100mN3258400E4569400;4569450;3258450;4354;NA
CRS3035RES100mN3258400E4569500;4569550;3258450;5579;NA
CRS3035RES100mN3258500E4551600;4551650;3258550;4421;NA
CRS3035RES100mN3258500E4551700;4551750;3258550;4906;NA
CRS3035RES100mN3258500E4551800;4551850;3258550;4465;NA
CRS3035RES100mN3258500E4551900;4551950;3258550;4736;NA
CRS3035RES100mN3258500E4552000;4552050;3258550;4698;NA
CRS3035RES100mN3258500E4552300;4552350;3258550;4321;NA
CRS3035RES100mN3258500E4552400;4552450;3258550;4058;NA
CRS3035RES100mN3258500E4552500;4552550;3258550;4313;NA
CRS3035RES100mN3258500E4552600;4552650;3258550;5955;NA
CRS3035RES100mN3258500E4552700;4552750;3258550;5476;NA
CRS3035RES100mN3258500E4552800;4552850;3258550;6627;NA
CRS3035RES100mN3258500E4552900;4552950;3258550;5069;NA
CRS3035RES100mN3258500E4553000;4553050;3258550;3065;NA
CRS3035RES100mN3258500E4553100;4553150;3258550;4915;NA
CRS3035RES100mN3258500E4553200;4553250;3258550;4534;NA
CRS3035RES100mN3258500E4553300;4553350;3258550;4713;NA
CRS3035RES100mN3258500E4553400;4553450;3258550;4936;NA
CRS3035RES100mN3258500E4553500;4553550;3258550;4116;NA
CRS3035RES100mN3258500E4553600;4553650;3258550;5310;NA
CRS3035RES100mN3258500E4553700;4553750;3258550;4868;NA
CRS3035RES100mN3258500E4553800;4553850;3258550;4933;NA
CRS3035RES100mN3258500E4553900;4553950;3258550;5516;NA
CRS3035RES100mN3258500E4554000;4554050;3258550;5281;NA
CRS3035RES100mN3258500E4554100;4554150;3258550;4927;NA
CRS3035RES100mN3258500E4567200;4567250;3258550;3194;NA
CRS3035RES100mN3258500E4567300;4567350;3258550;3793;NA
CRS3035RES100mN3258500E4567400;4567450;3258550;5249;NA
CRS3035RES100mN3258500E4567500;4567550;3258550;4607;NA
CRS3035RES100mN3258500E4568900;4568950;3258550;4482;NA
CRS3035RES100mN3258500E4569000;4569050;3258550;5722;NA
CRS3035RES100mN3258500E4569100;4569150;3258550;4940;NA
CRS3035RES100mN3258500E4569200;4569250;3258550;5485;NA
CRS3035RES100mN3258500E4569400;4569450;3258550;6626;NA
CRS3035RES100mN3258500E4569500;4569550;3258550;4629;NA
CRS3035RES100mN3258600E4536200;4536250;3258650;6481;NA
CRS3035RES100mN3258600E4536300;4536350;3258650;4120;NA
CRS3035RES100mN3258600E4551000;4551050;3258650;3216;NA
CRS3035RES100mN3258600E4551100;4551150;3258650;2950;NA
CRS3035RES100mN3258600E4551300;4551350;3258650;5272;NA
CRS3035RES100mN3258600E4551600;4551650;3258650;3948;NA
CRS3035RES100mN3258600E4551700;4551750;3258650;3748;NA
CRS3035RES100mN3258600E4551800;4551850;3258650;5011;NA
CRS3035RES100mN3258600E4551900;4551950;3258650;4558;NA
CRS3035RES100mN3258600E4552000;4552050;3258650;5267;NA
CRS3035RES100mN3258600E4552100;4552150;3258650;2961;NA
CRS3035RES100mN3258600E4552200;4552250;3258650;3811;NA
CRS3035RES100mN3258600E4552300;4552350;3258650;4603;NA
CRS3035RES100mN3258600E4552400;4552450;3258650;4530;NA
CRS3035RES100mN3258600E4552500;4552550;3258650;5085;NA
CRS3035RES100mN3258600E4552600;4552650;3258650;6348;NA
CRS3035RES100mN3258600E4552700;4552750;3258650;5214;NA
CRS3035RES100mN3258600E4552800;4552850;3258650;5102;NA
CRS3035RES100mN3258600E4552900;4552950;3258650;6113;NA
CRS3035RES100mN3258600E4553000;4553050;3258650;3793;NA
CRS3035RES100mN3258600E4553100;4553150;3258650;4882;NA
CRS3035RES100mN3258600E4553200;4553250;3258650;4935;NA
CRS3035RES100mN3258600E4553300;4553350;3258650;4461;NA
CRS3035RES100mN3258600E4553400;4553450;3258650;5232;NA
CRS3035RES100mN3258600E4553500;4553550;3258650;4447;NA
CRS3035RES100mN3258600E4553600;4553650;3258650;4618;NA
CRS3035RES100mN3258600E4553700;4553750;3258650;4700;NA
CRS3035RES100mN3258600E4553800;4553850;3258650;4897;NA
CRS3035RES100mN3258600E4553900;4553950;3258650;5117;NA
CRS3035RES100mN3258600E4554000;4554050;3258650;4386;NA
CRS3035RES100mN3258600E4554100;4554150;3258650;5843;NA
CRS3035RES100mN3258600E4567400;4567450;3258650;2955;NA
CRS3035RES100mN3258600E4567500;4567550;3258650;3580;NA
CRS3035RES100mN3258600E4567600;4567650;3258650;5181;NA
CRS3035RES100mN3258600E4567700;4567750;3258650;4011;NA
CRS3035RES100mN3258600E4569000;4569050;3258650;1678;NA
CRS3035RES100mN3258600E4569100;4569150;3258650;4910;NA
CRS3035RES100mN3258700E4534600;4534650;3258750;4139;NA
