GITTER_ID_100m;x_mp_100m;y_mp_100m;Insgesamt_Bevoelkerung;Unter18;a18bis29;a30bis49;a50bis64;a65undaelter
CRS3035RES100mN3257900E4552500;4552550;3257950;71;17;4;17;12;18
CRS3035RES100mN3257900E4552600;4552650;3257950;47;4;6;7;17;16
CRS3035RES100mN3257900E4552700;4552750;3257950;50;17;3;15;11;5
CRS3035RES100mN3257900E4552800;4552850;3257950;43;12;3;7;8;11
CRS3035RES100mN3257900E4552900;4552950;3257950;25;–;3;7;10;6
CRS3035RES100mN3257900E4553000;4553050;3257950;32;9;4;7;5;7
CRS3035RES100mN3257900E4553100;4553150;3257950;107;–;–;–;3;112
CRS3035RES100mN3257900E4553200;4553250;3257950;143;–;3;–;29;112
CRS3035RES100mN3257900E4553300;4553350;3257950;16;–;3;6;5;3
CRS3035RES100mN3257900E4553400;4553450;3257950;38;10;5;7;10;14
CRS3035RES100mN3257900E4553500;4553550;3257950;47;5;4;4;10;13
CRS3035RES100mN3257900E4553600;4553650;3257950;40;7;7;7;11;10
CRS3035RES100mN3257900E4553700;4553750;3257950;28;3;3;3;10;10
CRS3035RES100mN3257900E4553800;4553850;3257950;20;3;–;–;5;7
CRS3035RES100mN3257900E4553900;4553950;3257950;32;4;4;3;14;11
CRS3035RES100mN3257900E4569000;4569050;3257950;16;–;5;4;3;6
CRS3035RES100mN3257900E4569300;4569350;3257950;24;3;–;11;3;3
CRS3035RES100mN3257900E4569400;4569450;3257950;20;–;–;8;4;3
CRS3035RES100mN3257900E4569700;4569750;3257950;3;–;–;–;–;3
CRS3035RES100mN3257900E4569800;4569850;3257950;6;–;–;–;3;–
CRS3035RES100mN3258000E4533900;4533950;3258050;23;5;3;4;6;8
CRS3035RES100mN3258000E4551600;4551650;3258050;54;9;13;9;22;–
CRS3035RES100mN3258000E4551700;4551750;3258050;31;3;6;9;8;5
CRS3035RES100mN3258000E4551800;4551850;3258050;39;10;3;7;10;10
CRS3035RES100mN3258000E4551900;4551950;3258050;40;4;3;8;11;18
CRS3035RES100mN3258000E4552000;4552050;3258050;47;3;7;6;15;18
